"DeviceClean","DeviceNorm"
"Mayflash Arcade Stick F300 Elite [Xinput Switch] FW V1.10","mayflash arcade stick f300 elite xinput switch fw v1 10"
"Mayflash Arcade Stick F300 Elite [Xinput] FW V1.12","mayflash arcade stick f300 elite xinput fw v1 12"
"Mayflash Arcade Stick F300 Elite [Xinput] FW V1.13","mayflash arcade stick f300 elite xinput fw v1 13"
"Mayflash Arcade Stick F300 Rev 1.3 [Console] FW V1.23","mayflash arcade stick f300 rev 1 3 console fw v1 23"
"Mayflash Arcade Stick F300 Rev 1.3 [DInput PS3] FW V1.23","mayflash arcade stick f300 rev 1 3 dinput ps3 fw v1 23"
"Mayflash Arcade Stick F300 Rev 1.3 [Dinput PS3] FW pre-V1.23","mayflash arcade stick f300 rev 1 3 dinput ps3 fw pre v1 23"
"Mayflash Arcade Stick F300 Rev 1.3 [PC] FW pre-V1.23","mayflash arcade stick f300 rev 1 3 pc fw pre v1 23"
"Mayflash Arcade Stick F300 Rev 1.3 [Xinput Switch] FW V1.23","mayflash arcade stick f300 rev 1 3 xinput switch fw v1 23"
"Mayflash Arcade Stick F300 Rev 1.3 [Xinput Switch] FW pre-V1.23","mayflash arcade stick f300 rev 1 3 xinput switch fw pre v1 23"
"Mayflash Arcade Stick F500 V2 [Console] FW V1.13","mayflash arcade stick f500 v2 console fw v1 13"
"Mayflash Arcade Stick F500 V2 [Console] FW V1.14","mayflash arcade stick f500 v2 console fw v1 14"
"Mayflash Arcade Stick F500 V2 [DInput PS3 SNK] FW V1.13","mayflash arcade stick f500 v2 dinput ps3 snk fw v1 13"
"Mayflash Arcade Stick F500 V2 [DInput PS3 SNK] FW V1.14","mayflash arcade stick f500 v2 dinput ps3 snk fw v1 14"
"Mayflash Arcade Stick F500 V2 [PC] FW pre-V1.13","mayflash arcade stick f500 v2 pc fw pre v1 13"
"Mayflash Arcade Stick F500 V2 [Xinput] FW V1.13","mayflash arcade stick f500 v2 xinput fw v1 13"
"Mayflash Arcade Stick F500 V2 [Xinput] FW V1.14","mayflash arcade stick f500 v2 xinput fw v1 14"
"Mayflash Arcade Stick F500 V2 [Xinput] FW pre-V1.13","mayflash arcade stick f500 v2 xinput fw pre v1 13"
"Mayflash Megadrive Controller Adapter PC USB [Wired USB Dinput]","mayflash megadrive controller adapter pc usb wired usb dinput"
"Mayflash Megadrive Controller Adapter PC USB [Wired USB Xinput]","mayflash megadrive controller adapter pc usb wired usb xinput"
"Mayflash SS Controller Adapter [Wired USB Dinput]","mayflash ss controller adapter wired usb dinput"
"Mayflash SS Controller Adapter [Wired USB Xinput]","mayflash ss controller adapter wired usb xinput"
"Mayflash Wii Classic Controller Adapter For PC [Wired USB]","mayflash wii classic controller adapter for pc wired usb"
"Mcbazel PlayStation 2 Controller to USB Adapter for PC [Wired USB]","mcbazel playstation 2 controller to usb adapter for pc wired usb"
"Microsoft SideWinder Game Pad USB [Wired USB]","microsoft sidewinder game pad usb wired usb"
"Microsoft Xbox 360 [Generic 360 Receiver ""HDE""]","microsoft xbox 360 generic 360 receiver hde"
"Microsoft Xbox Elite Series 2 [BT (CSR8510)]","microsoft xbox elite series 2 bt csr8510"
"Microsoft Xbox Elite Series 2 [Wired USB]","microsoft xbox elite series 2 wired usb"
"Microsoft Xbox One Model 1708 [BT (CSR8510)]","microsoft xbox one model 1708 bt csr8510"
"Microsoft Xbox One Model 1708 [Microsoft Xbox One Wireless Adapter]","microsoft xbox one model 1708 microsoft xbox one wireless adapter"
"Microsoft Xbox One Model 1708 [Wired USB]","microsoft xbox one model 1708 wired usb"
"Microsoft Xbox Wireless Controller [Microsoft Xbox USB Adapter]","microsoft xbox wireless controller microsoft xbox usb adapter"
"Microsoft Xbox Wireless Controller [Wired USB]","microsoft xbox wireless controller wired usb"
"MisterAddons MiSTercade [Wired USB]","misteraddons mistercade wired usb"
"Monoprice Dark Matter [Wired USB Xinput]","monoprice dark matter wired usb xinput"
"New Wave Toys (Replicade) Street Fighter II Mini Fight Stick [Wired USB]","new wave toys replicade street fighter ii mini fight stick wired usb"
"Nintendo Switch Online N64 [BT (CSR8510)]","nintendo switch online n64 bt csr8510"
"Nintendo Switch Online N64 [Wired USB]","nintendo switch online n64 wired usb"
"Nintendo Switch Online SNES [8BitDo USB Adapter Dinput]","nintendo switch online snes 8bitdo usb adapter dinput"
"Nintendo Switch Online SNES [8BitDo USB Adapter X-Input]","nintendo switch online snes 8bitdo usb adapter x input"
"Nintendo Switch Online SNES [BT (CSR8510)]","nintendo switch online snes bt csr8510"
"Nintendo Switch Pro [8BitDo USB Adapter Dinput]","nintendo switch pro 8bitdo usb adapter dinput"
"Nintendo Switch Pro [8BitDo USB Adapter MacOS]","nintendo switch pro 8bitdo usb adapter macos"
"Nintendo Switch Pro [BT (CSR8510)]","nintendo switch pro bt csr8510"
"Nintendo Switch Pro [Wired USB]","nintendo switch pro wired usb"
"Nintendo Wii Remote [BT (CSR8510)]","nintendo wii remote bt csr8510"
"Nintendo Wii U Pro [8BitDo USB Adapter Dinput]","nintendo wii u pro 8bitdo usb adapter dinput"
"Nintendo Wii U Pro [8BitDo USB Adapter X-Input]","nintendo wii u pro 8bitdo usb adapter x input"
"Nintendo Wii U Pro [BT (CSR8510)]","nintendo wii u pro bt csr8510"
"PDP Xbox 360 Versus Controller (MS-3660) [Wired USB]","pdp xbox 360 versus controller ms 3660 wired usb"
"Paradise Arcade Lono [Wired USB]","paradise arcade lono wired usb"
"PowerA Fusion Wired Fightpad for PS4 [Wired USB]","powera fusion wired fightpad for ps4 wired usb"
"PowerA Fusion Wired Fightpad for Switch [Wired USB]","powera fusion wired fightpad for switch wired usb"
"PowerA Fusion Wired Fightpad for Xbox One [Wired USB]","powera fusion wired fightpad for xbox one wired usb"
"PowerA Wired Controller for PS3 [Wired USB]","powera wired controller for ps3 wired usb"
"PowerA Wired Controller for Switch [Wired USB]","powera wired controller for switch wired usb"
"Qanba Drone [Wired USB PS3]","qanba drone wired usb ps3"
"Qanba Drone [Wired USB PS4]","qanba drone wired usb ps4"
"Qanba Obsidian [Wired USB PC]","qanba obsidian wired usb pc"
